Kanji,Hiragana,English,Origin,Difficulty ,New
??,???,Day,Duolingo 2.1,,
??,???,Tomorrow,Duolingo 2.1,,
???,????,The day after tomorrow,Duolingo 2.1,,
???,????,The day before yesterday,Duolingo 2.1,,
??,????,Weekday,Duolingo 2.1,,
?,??,"Afternoon, midday",Duolingo 2.1,,
?,??,Night,Duolingo 2.1,,
??,??,Often,Duolingo 2.1,,
?,?,Counter for birds and rabbits,Duolingo 2.1,,
?,??,Counter for age,Duolingo 2.1,,
?,?,Counter for round objects,Duolingo 2.1,,
?,??,Counter for books,Duolingo 2.1,,
?,??,One,Duolingo 2.1,,
?,?,Two,Duolingo 2.1,,
?,??,Three,Duolingo 2.1,,
?,??,Four,Duolingo 2.1,,
?,?,Five,Duolingo 2.1,,
?,??,Six,Duolingo 2.1,,
?,??,Seven,Duolingo 2.1,,
?,??,Eight,Duolingo 2.1,,
?,???,Nine,Duolingo 2.1,,
?,???,Ten,Duolingo 2.1,,
?,???,Hundred,Duolingo 2.1,,
?,??,Thousand,Duolingo 2.1,,
?,??,Ten thousand,Duolingo 2.1,,
?,??,Yen ,Duolingo 2.1,,
??,???,One person,Duolingo 2.1,,
?,?,Young (thing),Duolingo 2.1,,
??,???,To be called (name),Duolingo 2.1,,
???,??????,Foreigner,Duolingo 2.1,,
??,????,Student in � year,Duolingo 2.1,,
??,????,University,Duolingo 2.1,,
??,????,High school,Duolingo 2.1,,
??,?????,Middle school,Duolingo 2.1,,
??,?????,Elementary school,Duolingo 2.1,,
???,???????,Foreign exchange student ,Duolingo 2.1,,
?,??,He,Duolingo 2.1,,
??,????,Her,Duolingo 2.1,,
??,???,Sisters ,Duolingo 2.1,,
??,?????,Parents,Duolingo 2.1,,
??,????,Relatives,Duolingo 2.1,,
??,????,Friend,Duolingo 2.1,,
??,???,Son,Duolingo 2.1,,
?,???,Daughter,Duolingo 2.1,,
?,??,Grandchild,Duolingo 2.1,,
???,?????,Grandson,Duolingo 2.1,,
??,?????,Granddaughter,Duolingo 2.1,,
?,???,My husband,Duolingo 2.1,,
?,??,My wife,Duolingo 2.1,,
???,?????,Your husband,Duolingo 2.1,,
???,????,Your wife,Duolingo 2.1,,
??,??,Grandfather,Duolingo 2.1,,
??,??,Grandmother ,Duolingo 2.1,,
??,????,Husband,Duolingo 2.1,,
??,????,Wife,Duolingo 2.1,,
??,????,At home,Duolingo 2.1,,
??????,??????,See you later,Duolingo 2.1,,
?????,?????,Resembles,Duolingo 2.1,,
??,???,To run,Duolingo 2.1,,
??,??,To write,Duolingo 2.1,,
??,??,To draw,Duolingo 2.1,,
??,???,To learn,Duolingo 2.1,,
????,?????,To work,Duolingo 2.1,,
????,??????,To travel,Duolingo 2.1,,
????,?????,To walk,Duolingo 2.1,,
??,??,Bathtub,Duolingo 2.1,,
?,??,Table,Duolingo 2.1,,
?,??,Thing,Duolingo 2.1,,
??,???,Job,Duolingo 2.1,,
?,??,Shelf,Duolingo 2.1,,
??,????,Bookshelf,Duolingo 2.1,,
?,??,Corner,Duolingo 2.1,,
??,????,Corner,Duolingo 2.1,,
??,???,Futon,Duolingo 2.1,,
?,???,Mirror,Duolingo 2.1,,
???,?????,Refrigerator,Duolingo 2.1,,
?,??,Paper,Duolingo 2.1,,
??,???,Letter,Duolingo 2.1,,
?,?,Picture,Duolingo 2.1,,
??,????,School,Duolingo 2.1,,
?,??,Meeting,Duolingo 2.1,,
??,?????,Kitchen,Duolingo 2.1,,
?,??,Yard,Duolingo 2.1,,
??,????,Bedroom,Duolingo 2.1,,
?,???,Place,Duolingo 2.1,,
??,????,Kyoto,Duolingo 2.1,,
??,?????,Tokyo,Duolingo 2.1,,
??,????,Osaka,Duolingo 2.1,,
?,??,Hill,Duolingo 2.1,,
??,????,Korea,Duolingo 2.1,,
??,????,Taiwan,Duolingo 2.1,,
??,???,"That's not right, difference",Duolingo 2.1,,
??,???,Naomi (name),Duolingo 2.1,,
??,???,Kenta (name),Duolingo 2.1,,
???,????,Cold (thing),Duolingo 2.1,,
??,???,Expensive,Duolingo 2.1,,
??,???,Sweet,Duolingo 2.1,,
??,???,Low,Duolingo 2.1,,
?,??,"Aside, next to ",Duolingo 2.1,,
?????,??????,To take a trip (continuous form),Duolingo 2.1,,
??,????,Overseas,Duolingo 2.1,,
??,????,Half,Duolingo 2.2,,
??,????,Very,Duolingo 2.2,,
?,??,Color,Duolingo 2.2,,
??,???,Red,Duolingo 2.2,,
??,???,Blue,Duolingo 2.2,,
??,???,White,Duolingo 2.2,,
???,????,Yellow,Duolingo 2.2,,
??,???,Black,Duolingo 2.2,,
??,????,Brown,Duolingo 2.2,,
?,??,Winter,Duolingo 2.2,,
?,??,Spring,Duolingo 2.2,,
?,??,Summer,Duolingo 2.2,,
?,??,Autumn,Duolingo 2.2,,
?,??,North,Duolingo 2.2,,
?,???,East,Duolingo 2.2,,
?,???,South,Duolingo 2.2,,
?,??,West,Duolingo 2.2,,
??,????,Northeast,Duolingo 2.2,,
?,??,Snow,Duolingo 2.2,,
?,??,Rain,Duolingo 2.2,,
?,??,Sky,Duolingo 2.2,,
?,??,Wind,Duolingo 2.2,,
??,??,This morning,Duolingo 2.2,,
??,???,This evening,Duolingo 2.2,,
??,???,Last night,Duolingo 2.2,,
??,????,Evening,Duolingo 2.2,,
??,???,Daytime,Duolingo 2.2,,
???,????,"Subway, metro",Duolingo 2.2,,
???,?????,Bicycle,Duolingo 2.2,,
???,????,Airplane,Duolingo 2.2,,
??,????,Airport,Duolingo 2.2,,
?,??,Station,Duolingo 2.2,,
???,?????,Movie theater,Duolingo 2.2,,
??,????,Building,Duolingo 2.2,,
??,????,Bank,Duolingo 2.2,,
?,??,Store,Duolingo 2.2,,
?,??,Iron,Duolingo 2.2,,
??,??,Map,Duolingo 2.2,,
???,????,Entrance,Duolingo 2.2,,
??,???,Exit,Duolingo 2.2,,
?,??,Road,Duolingo 2.2,,
??,???,Road,Duolingo 2.2,,
?,??,Corner,Duolingo 2.2,,
?,??,Clothes,Duolingo 2.2,,
?,??,Shoes,Duolingo 2.2,,
??,???,Hat,Duolingo 2.2,,
??,???,Phone,Duolingo 2.2,,
??,????,Newspaper,Duolingo 2.2,,
??,????,Number,Duolingo 2.2,,
????,???????,Phone number,Duolingo 2.2,,
??,????,Dinner,Duolingo 2.2,,
??,????,"Bento, lunchbox",Duolingo 2.2,,
?,??,Salt,Duolingo 2.2,,
??,???,Sugar,Duolingo 2.2,,
??,????,Soy sauce,Duolingo 2.2,,
??,??????,Milk,Duolingo 2.2,,
??,????,Black tea,Duolingo 2.2,,
??,???,Stomach,Duolingo 2.2,,
?,??,Plate,Duolingo 2.2,,
?,??,Chopstick,Duolingo 2.2,,
??,??,Sushi ,Duolingo 2.2,,
??,????,Rice bowl,Duolingo 2.2,,
??,????,Favorite food,Duolingo 2.2,,
??,?????,Next week,Duolingo 2.2,,
???,??????,The week after next,Duolingo 2.2,,
??,????,This month,Duolingo 2.2,,
???,?????,The month after next,Duolingo 2.2,,
??,??,To take off ,Duolingo 2.2,,
??,???,"To clean, wash",Duolingo 2.2,,
